This is my life list, started May 2024

Red-winged Blackbird
Black-capped Chickadee
Brown-headed Cowbird
Common Crow
Harlequin Duck
Mallard
Hooded Merganger
Common Merganser
Common Flicker
Canada Goose
Common Grackle
Glaucous-winged Gull
Cooper's Hawk
Great Blue Heron
Anna's Hummingbird
Common Loon
Black Oystercatcher
Semipalmated Plover
Least Sandpiper
Western Sandpiper
Chipping Sparrow
Song Sparrow
Barn Swallow
Violet-green Swallow
Trumpeter Swan
Spotted Towhee
Cedar Waxwing
Common Yellowthroat
